id,instance_no,reg_type,k_repetition,reg_value,loss
0,0.0,L2,0.0,0.001,1.0875298958933393
1,0.0,L2,1.0,0.001,0.9560530753621288
2,0.0,L2,2.0,0.001,0.9843442421860945
3,0.0,L2,3.0,0.001,1.0079191638028528
4,0.0,L2,4.0,0.001,0.9659570875674407
5,0.0,L2,5.0,0.001,0.9995691946171573
6,0.0,L2,6.0,0.001,1.0951582983154102
7,0.0,L2,7.0,0.001,0.9452762462065735
8,0.0,L2,8.0,0.001,0.9246768458773993
9,0.0,L2,9.0,0.001,0.9074673470152617
10,0.0,L2,0.0,0.0505,1.0803653571908245
11,0.0,L2,1.0,0.0505,0.9631947841136899
12,0.0,L2,2.0,0.0505,1.0307496300847505
13,0.0,L2,3.0,0.0505,0.9435190653806892
14,0.0,L2,4.0,0.0505,0.8158765536014109
15,0.0,L2,5.0,0.0505,1.0544327683587913
16,0.0,L2,6.0,0.0505,0.8844706984224067
17,0.0,L2,7.0,0.0505,0.8913508730578003
18,0.0,L2,8.0,0.0505,1.046108484254744
19,0.0,L2,9.0,0.0505,1.0706241216485906
20,1.0,L2,0.0,0.1,0.5437023817811096
21,1.0,L2,1.0,0.1,0.3659766989045459
22,1.0,L2,2.0,0.1,0.48564731978320896
23,1.0,L2,3.0,0.1,0.43058251011363413
24,1.0,L2,4.0,0.1,0.41653255509341625
25,1.0,L2,5.0,0.1,0.3991338507727011
26,1.0,L2,6.0,0.1,0.5854278559721848
27,1.0,L2,7.0,0.1,0.2763699113252895
28,1.0,L2,8.0,0.1,0.5223640375021202
29,1.0,L2,9.0,0.1,0.32529975866639615
30,1.0,L2,0.0,0.001,0.4479249176558882
31,1.0,L2,1.0,0.001,0.1684594327813731
32,1.0,L2,2.0,0.001,0.4067425222167586
33,1.0,L2,3.0,0.001,0.3148335035167549
34,1.0,L2,4.0,0.001,0.42658553387678394
35,1.0,L2,5.0,0.001,0.4488477053736126
36,1.0,L2,6.0,0.001,0.3882730219711426
37,1.0,L2,7.0,0.001,0.41334768344660955
38,1.0,L2,8.0,0.001,0.5297152965122571
39,1.0,L2,9.0,0.001,0.34975232236365655
40,2.0,L2,0.0,0.0505,0.10020737275429706
41,2.0,L2,1.0,0.0505,0.21232128206486856
42,2.0,L2,2.0,0.0505,0.1367436403859166
43,2.0,L2,3.0,0.0505,0.14018404883572022
