instance_no,L2_value,drop_value,loss
0,0.000162182,0.348326277,0.636712581
1,0.001153468,0.137564602,0.640183645
2,0.001867252,0.408429615,0.645374113
3,9.84E-05,0.002428999,0.637338325
4,3.51E-06,0.136764922,0.634277996
5,1.20E-06,0.349354021,0.632632267
6,9.36E-05,0.246919858,0.639603779
7,7.49E-06,0.198211075,0.63783668
8,0.000164749,0.46520744,0.639479116
9,5.57E-05,0.055471898,0.638296384
10,8.41E-05,0.338362132,0.633609387
11,5.25E-06,0.042334145,0.637668285
12,0.000853688,0.106379284,0.639808488
13,0.00119408,0.072838098,0.64053922
14,7.61E-05,0.374179452,0.639089879
15,0.000786316,0.163736631,0.64065451
16,9.90E-05,0.306720779,0.638010201
17,1.63E-06,0.120836198,0.636769849
18,0.000460958,0.038347569,0.63846772
19,5.19E-06,0.370975047,0.637101504
20,0.000227322,0.277215555,0.639838821
21,0.000252633,0.181932642,0.639790213
22,1.58E-05,0.217931352,0.638218394
23,0.000268511,0.377443312,0.639336801
24,1.74E-05,0.107533698,0.640196872
25,0.000420061,0.017062435,0.638894621
26,0.000165681,0.052740268,0.636319691
27,0.001802461,0.053671428,0.644273853
28,1.22E-06,0.204657131,0.634684113
29,0.000945277,0.131111976,0.643337253
30,0.000123507,0.126633006,0.637098053
31,3.43E-05,0.112371529,0.638296887
32,8.28E-06,0.408386429,0.640057692
33,0.001498406,0.272665266,0.63798126
34,0.000384621,0.121366181,0.638317341
35,0.001339641,0.119142006,0.637898207
36,1.91E-06,0.034052747,0.640171954
37,1.74E-06,0.089294575,0.639928535
38,8.85E-05,0.11666405,0.638544381
39,1.74E-06,0.316048868,0.637478998
40,2.90E-06,0.345429414,0.639219955
41,0.001037174,0.034849233,0.640082687
42,0.002759342,0.488907653,0.640590301
43,7.41E-06,0.132689225,0.640172967
44,0.000856953,0.441617773,0.64189887
45,0.00134397,0.341872152,0.639418012
46,0.000502192,0.3103758,0.640815368
47,4.83E-05,0.235007436,0.637219018
48,0.000273667,0.256411793,0.639418817
49,0.004160265,0.396883115,0.642258051
50,4.12E-05,0.031712194,0.641318852
51,5.56E-06,0.152257178,0.643370086
52,0.000475479,0.089677751,0.640200868
53,1.47E-06,0.218043466,0.636687255
54,0.000202476,0.146288741,0.639341268
55,4.20E-06,0.221399463,0.64070664
56,0.000301544,0.201643499,0.639739344
57,0.001631424,0.234600576,0.64254064
58,2.69E-05,0.115821803,0.640113136
59,7.86E-06,0.040756329,0.64274841
60,7.76E-05,0.178680474,0.640661043
61,0.00021274,0.06974805,0.641139746
62,0.000186248,0.199054902,0.640018958
63,0.000790512,0.447096509,0.639855036
64,2.02E-05,0.176168014,0.640940219
65,6.03E-05,0.126166864,0.64094066
66,2.38E-06,0.278028143,0.640360108
67,0.001131831,0.003897896,0.643455848
68,5.76E-05,0.059880694,0.641230959
69,0.000157797,0.467969034,0.641491616
70,1.46E-06,0.42065203,0.640880051
71,4.93E-06,0.261712012,0.642871505
72,0.000126926,0.294603458,0.640315047
73,9.50E-06,0.405668954,0.641375121
74,8.41E-05,0.342018055,0.641673344
75,0.001234337,0.08352471,0.647505718
76,2.75E-05,0.300143448,0.641272131
77,0.000143712,0.071109039,0.640469119
78,2.81E-05,0.089198194,0.643107653
79,0.000608589,0.309606883,0.6405927
80,0.002593877,0.305767339,0.644257113
81,0.001712154,0.452670405,0.641941404
82,1.48E-06,0.098632426,0.639482415
83,2.35E-05,0.118809435,0.643244085
84,0.000218361,0.174654789,0.63987796
85,0.000786056,0.007275664,0.641470978
86,1.58E-06,0.148697032,0.639514595
87,4.07E-06,0.396386782,0.64080258
88,8.36E-05,0.205832692,0.644248825
89,0.000183569,0.164618916,0.641557133
90,6.96E-06,0.049610686,0.644087538
91,1.19E-05,0.391485401,0.644589013
92,0.000125047,0.268706071,0.640656608
93,1.11E-05,0.243185627,0.643361774
94,8.47E-06,0.429315041,0.64183856
95,1.27E-06,0.160359374,0.641757858
96,4.77E-05,0.499534249,0.640822184
97,3.13E-05,0.266646009,0.645601645
98,0.001133567,0.257604251,0.643261436
99,2.36E-05,0.402929975,0.638843244
100,0.001280119,0.369380717,0.641736922
101,1.47E-05,0.276385691,0.639754599
102,0.002778957,0.209090865,0.639721578
103,0.002194161,0.244442113,0.642482215
104,2.32E-06,0.004840997,0.645138001
105,2.79E-05,0.18347819,0.643136612
106,1.05E-06,0.380091682,0.645225474
107,0.000555253,0.065015856,0.640588135
108,0.000454517,0.021333241,0.642194638
109,3.39E-06,0.240985213,0.641516131
110,0.000483501,0.158293408,0.639468041
111,0.00014105,0.26461323,0.641420898
112,3.80E-05,0.136002407,0.640112445
113,4.17E-05,0.074346918,0.641598985
114,0.003304192,0.450951706,0.640858531
115,1.77E-06,0.246642775,0.642094877
116,1.34E-05,0.070145321,0.642827669
117,0.000145459,0.240467093,0.642952505
118,1.17E-06,0.186131835,0.640618569
119,6.96E-06,0.156320549,0.64569746
120,2.26E-06,0.230933143,0.642607757
121,1.59E-06,0.239317618,0.644192263
122,2.88E-06,0.26840111,0.641496491
123,0.000223012,0.469893735,0.640076882
124,3.38E-06,0.2616763,0.637143037
125,0.000850752,0.348408996,0.6412835
126,0.001047326,0.006521656,0.640984678
127,1.13E-05,0.296445448,0.640560606
128,3.62E-06,0.116441414,0.637822008
129,0.000204793,0.402571902,0.640069041
130,1.37E-05,0.012238809,0.642667389
131,0.000385278,0.377694409,0.638777107
132,0.000658453,0.207443154,0.640347701
133,2.40E-05,0.040349384,0.634898391
134,7.42E-05,0.139135466,0.641643104
135,2.54E-06,0.436939825,0.647304139
136,2.75E-06,0.187263074,0.64498542
137,0.000232145,0.48731366,0.640248853
138,0.000102203,0.329985536,0.645106795
139,0.00138065,0.240623232,0.640933865
140,0.000577497,0.360107254,0.639433563
141,0.000161982,0.213170348,0.641710293
142,0.000709579,0.3605931,0.6429759
143,1.16E-06,0.266031601,0.646150991
144,3.44E-06,0.263806455,0.643906149
145,8.01E-05,0.25358168,0.642719403
146,4.25E-05,0.257777938,0.644578463
147,0.000214306,0.117331705,0.644278991
148,2.28E-05,0.492770355,0.644557902
149,0.001628039,0.362492875,0.643249178
150,2.68E-05,0.119724537,0.64477618
151,0.000234838,0.023727971,0.641315991
152,3.16E-05,0.495560676,0.640546903
153,0.000496225,0.228814045,0.640947431
154,6.68E-06,0.17246924,0.646356955
155,6.86E-05,0.260708862,0.643610871
156,0.000180847,0.235176721,0.643923369
157,0.000719629,0.214596191,0.641675556
158,8.50E-05,0.244279637,0.644843253
159,1.77E-06,0.465331454,0.643481833
160,1.35E-05,0.186015844,0.638215277
161,0.002153035,0.111337196,0.640899956
162,0.001385452,0.385013429,0.644491908
163,0.002178887,0.274583049,0.642385322
164,9.95E-06,0.135288755,0.644733304
165,1.01E-05,0.164969203,0.643830898
166,0.002188932,0.402533953,0.643687022
167,8.06E-05,0.430247353,0.641383225
168,0.001600437,0.186638874,0.643345279
169,7.18E-06,0.081893611,0.648756778
170,7.21E-06,0.014696636,0.652507988
171,1.46E-06,0.26617735,0.644222501
172,1.50E-06,0.172830244,0.645882851
173,6.82E-05,0.308316978,0.642581716
174,6.14E-05,0.086017495,0.64380973
175,5.09E-06,0.110003967,0.643977344
176,2.96E-06,0.305536512,0.640409282
177,2.18E-06,0.127909796,0.641796413
178,4.06E-05,0.090528113,0.644818255
179,3.75E-06,0.106221167,0.642532086
180,0.000206229,0.28526918,0.642542398
181,0.000120309,0.436039416,0.6391186
182,0.001787983,0.323871847,0.64458288
183,0.000103322,0.141976287,0.646196997
184,2.32E-06,0.070176123,0.646166244
185,2.13E-05,0.381796303,0.644743386
186,1.37E-05,0.022848952,0.643488514
187,1.60E-05,0.289874988,0.645970339
188,3.21E-06,0.186462628,0.640014654
189,0.000526983,0.053142637,0.645956349
190,4.42E-05,0.287969462,0.649478254
191,0.00352432,0.478148949,0.647116467
192,1.20E-06,0.302090631,0.642206129
193,0.000219042,0.27348843,0.64577257
194,4.93E-06,0.342656388,0.64645229
195,6.81E-06,0.337759337,0.647475728
196,2.12E-05,0.331059333,0.644497511
197,0.000452554,0.470665261,0.644274938
198,1.58E-06,0.409950163,0.639823228
199,4.87E-06,0.134914551,0.644306678
200,0.001299176,0.2028461,0.643134311
201,2.14E-06,0.082219325,0.643232891
202,0.000486937,0.222287013,0.643100086
203,1.96E-05,0.140841049,0.644009364
204,1.22E-06,0.041215987,0.643923125
205,0.002038636,0.21223756,0.644520465
206,6.45E-06,0.175395803,0.645026499
207,0.000231892,0.172655772,0.643376523
208,4.72E-05,0.097700757,0.643778631
209,3.88E-05,0.408766295,0.641477183
210,4.29E-05,0.222947661,0.642118862
211,0.000946125,0.465474198,0.641412693
212,0.000403269,0.118339822,0.645609146
213,5.75E-06,0.178888899,0.646547335
214,5.67E-05,0.333678874,0.642862239
215,0.000171378,0.445940655,0.646786153
216,0.00079599,0.410931526,0.644485691
217,2.01E-06,0.479766171,0.646568385
218,1.72E-06,0.48273529,0.642021227
219,7.33E-06,0.157336098,0.643628913
220,0.001024127,0.197593156,0.649946672
221,0.000577008,0.42126983,0.645473105
222,4.95E-06,0.270494202,0.649344122
223,1.56E-06,0.458757283,0.643243101
224,1.25E-06,0.444837984,0.642938343
225,0.000329873,0.039652355,0.645531788
226,1.56E-05,0.319211465,0.644721395
227,0.001223695,0.11945656,0.645045823
228,0.000186518,0.324383482,0.648485726
229,0.001424219,0.14929344,0.644634548
230,0.000723081,0.132665027,0.644707051
231,0.000670137,0.468978832,0.644169354
232,2.74E-06,0.059624602,0.649054122
233,8.90E-05,0.391988412,0.649619865
234,4.68E-05,0.429086183,0.647083262
235,0.001789326,0.270260095,0.645618442
236,2.70E-06,0.440832785,0.648624873
237,1.25E-05,0.318731459,0.645231259
238,0.000544129,0.423747307,0.644694313
239,0.001855707,0.421560457,0.645539197
240,2.20E-06,0.162972858,0.648750341
241,0.000353201,0.161735746,0.646781904
242,0.002129346,0.064086366,0.648248741
243,0.00075215,0.450644255,0.645237812
244,0.002575489,0.186907671,0.648994133
245,0.000450742,0.431386347,0.646815133
246,1.33E-06,0.124108023,0.646260312
247,1.31E-06,0.348216113,0.647203723
248,5.16E-06,0.414226381,0.649982643
249,0.000908601,0.453502903,0.652266046
250,0.000197695,0.203850761,0.649314603
251,2.92E-05,0.10588288,0.648342827
252,1.98E-06,0.47103654,0.643791696
253,0.000308525,0.014600727,0.646961167
254,4.26E-06,0.020123174,0.646996
255,0.00055695,0.491586297,0.652514783
256,2.28E-06,0.236202244,0.648595482
257,3.12E-06,0.312086949,0.643996617
258,5.37E-06,0.330427299,0.642449424
259,3.83E-06,0.318681932,0.63965998
260,4.24E-05,0.153030027,0.647223768
